rank,region_id,degree,betweenness,pagerank,clustering,strength,hub_score
66,143,3,0.0,0.005647186952740545,0.6082942374599791,1.2930125000000001,0.335932159546607
67,58,4,0.11303699562016588,0.005416190838365726,0.0828096879892323,1.30764757,0.33267038998098036
68,13,6,0.02087410306588389,0.010006280775225897,0.14449004347732317,2.2048344899999996,0.3266576701857108
69,140,5,0.0005591277606933184,0.0063690880342397935,0.39840140645547156,2.0204582799999997,0.3189788267868289
70,33,3,0.0,0.005167663076264347,0.5742856457987923,1.2900255299999999,0.3187850449583484
71,69,6,0.014630509738141832,0.008972897274511664,0.15297492619759726,2.2873086799999998,0.30984215327005626
72,142,6,0.01612151709999068,0.0074819629139277945,0.20681501238905528,2.13454938,0.30669084876910985
73,26,5,0.019010343863572827,0.007719368987338833,0.22106521937844997,1.97870729,0.30314234679117436
74,146,3,0.0,0.004622762600946873,0.5498213462710612,1.12128382,0.29954963275012136
75,46,4,0.06886590252539372,0.005429373291296011,0.16642445839969192,1.3480393,0.2989848211959278
76,100,5,0.004473022085546547,0.007394068901561882,0.27827903359719414,2.02701116,0.298489282392692
77,30,4,0.015003261578604045,0.006867274696028923,0.3043704181479918,1.6375460600000002,0.2937786193168066
78,61,3,0.0,0.004616458252934337,0.5005131044826648,0.99477605,0.28011568557418
79,133,5,0.012953126456061878,0.0049378089418903905,0.30128552491645416,1.69240913,0.2782340096434569
80,65,4,0.0006523157208088716,0.005321945824098031,0.36290381075323735,1.5541377299999999,0.27103142102029587
81,36,4,0.06588388780169602,0.007473895582646415,0.0,1.50941492,0.2706367573902955
82,112,5,0.034199981362407976,0.007764871019294827,0.048240270752096845,1.75091109,0.26290683897875927
83,109,5,0.00363433044450657,0.004626358787870317,0.30014389906174854,1.69188342,0.26084244742963025
84,54,2,0.0,0.0030906611374739547,0.5270540214046922,0.7078283000000001,0.2509136897212551
85,38,3,0.002329699002888827,0.005065933831861455,0.3706243848183745,1.1294832,0.25038057281064496
86,88,5,0.01845121610287951,0.00838829523347048,0.050499423539056607,1.75768886,0.24950957677169394
87,129,3,0.0027956388034665923,0.005005175173854717,0.36453858787368915,1.1234373800000002,0.2481361756133944
88,73,4,9.318796011555308e-05,0.004416041033806003,0.34099298676357187,1.3964071900000001,0.24759881333516526
89,4,4,0.002143323082657721,0.005184016168542837,0.2697731528972672,1.39681736,0.23699071675107283
90,55,3,0.023576553909234927,0.005429941594164135,0.17539239748542104,1.15882401,0.22215330759749152
91,86,4,0.0226446743080794,0.006283394048427462,0.08040045125349475,1.34379086,0.2166785470281945
92,127,3,0.011741682974559688,0.005946065205413634,0.16833141179685537,1.0791565300000001,0.20760367452799217
93,139,3,0.006336781287857609,0.004978403662788955,0.1970142337669143,1.28427274,0.202586689015983
94,51,3,0.034665921162985745,0.007306591977165217,0.0,1.0674054,0.20189902460493236
95,35,4,0.004473022085546547,0.004347736927441648,0.1593342076797944,1.33836203,0.19234553869353194
96,79,4,0.005404901686702078,0.007524360327137747,0.0,1.6325056900000001,0.1895111346940376
97,0,4,0.018264840182648404,0.006276549647754006,0.0,1.39550778,0.18567730061258325
98,87,3,0.005964029447395397,0.004996971335447726,0.1608009025069895,1.01736868,0.18349528340230908
99,83,3,0.0004659398005777654,0.00430800592672502,0.1902461909751388,1.17395282,0.18081401060716212
100,71,2,0.06010623427453173,0.004056563506323526,0.0,0.78114438,0.1782062990498405
101,9,3,0.0008386916410399776,0.004592561354791853,0.15906267854096443,1.1681745399999999,0.17462555896278037
102,120,3,0.0004659398005777654,0.00439682587646331,0.162162283632416,1.06464881,0.16992336285605306
103,41,3,0.0,0.003492437898621614,0.18950071740920973,1.15381104,0.1691493445803504
104,110,3,0.023856117789581587,0.005497237075051931,0.0,0.9950486999999999,0.16208840560129834
105,115,3,9.318796011555308e-05,0.0032383140411046084,0.1714759393292263,1.02922197,0.15695057362802606
106,74,3,0.009318796011555308,0.0058263859796111915,0.0,1.10193365,0.14860465129464734
107,5,3,0.007641412729475352,0.005544019448928747,0.0,1.23529317,0.1462178101160599
108,97,3,0.008014164569937565,0.005489898661222318,0.0,1.1162435400000001,0.14292468230717686
109,89,3,0.008014164569937565,0.0052043181118875455,0.0,1.0997267700000002,0.1389048557640733
110,2,2,0.011741682974559688,0.00502097283675719,0.0,0.8666844,0.12458932108940828
111,125,2,0.011648495014444135,0.00527542046912919,0.0,0.6485988,0.12190411550667206
112,67,2,0.0,0.005753993057363004,0.0,0.7286977,0.11365013630693296
113,45,1,0.0,0.007082152974504249,0.0,0.4400611,0.11160216635146283
114,119,1,0.0,0.007082152974504249,0.0,0.4400611,0.11160216635146283
115,81,1,0.0,0.007082152974504249,0.0,0.43644172,0.1115067723173671
116,7,1,0.0,0.007082152974504249,0.0,0.43644172,0.1115067723173671
117,96,1,0.0,0.007082152974504249,0.0,0.41653758,0.11098216970316077
118,22,1,0.0,0.007082152974504249,0.0,0.41653758,0.11098216970316077
